name,type,size
connectionpool.py,file,39093
contrib,directory,106810
appengine.py,file,11034
ntlmpool.py,file,4538
pyopenssl.py,file,17182
securetransport.py,file,34448
socks.py,file,7097
_appengine_environ.py,file,957
_securetransport,directory,31554
bindings.py,file,17632
low_level.py,file,13922
__init__.py,file,0
__init__.py,file,0
exceptions.py,file,8217
fields.py,file,8579
filepost.py,file,2440
packages,directory,36082
backports,directory,1417
makefile.py,file,1417
__init__.py,file,0
six.py,file,34665
__init__.py,file,0
poolmanager.py,file,19786
request.py,file,5985
response.py,file,30109
util,directory,97190
connection.py,file,4901
proxy.py,file,1605
queue.py,file,498
request.py,file,3997
response.py,file,3510
retry.py,file,22001
ssltransport.py,file,6895
ssl_.py,file,17177
ssl_match_hostname.py,file,5758
timeout.py,file,10003
url.py,file,14287
wait.py,file,5403
__init__.py,file,1155
_collections.py,file,10811
_version.py,file,64
__init__.py,file,3333
vendor.txt,file,469
webencodings,directory,31733
labels.py,file,8979
mklabels.py,file,1305
tests.py,file,6563
x_user_defined.py,file,4307
__init__.py,file,10579
__init__.py,file,4966
__init__.py,file,357
__main__.py,file,1198
__pip-runner__.py,file,1444
pip-22.3.1.dist-info,directory,76670
entry_points.txt,file,125
INSTALLER,file,5
LICENSE.txt,file,1093
METADATA,file,4072
RECORD,file,71279
top_level.txt,file,4
WHEEL,file,92
pip-22.3.1.virtualenv,file,0
pkg_resources,directory,1862509
extern,directory,6750
__init__.py,file,2426
__pycache__,directory,4324
__init__.cpython-311.pyc,file,4324
_vendor,directory,1587614
appdirs.py,file,24701
importlib_resources,directory,25123
abc.py,file,3886
readers.py,file,3566
simple.py,file,2836
_adapters.py,file,4504
_common.py,file,2741
_compat.py,file,2706
_itertools.py,file,884
_legacy.py,file,3494
__init__.py,file,506
jaraco,directory,91021
context.py,file,5420
functools.py,file,13515
text,directory,42141
__init__.py,file,15526
__pycache__,directory,26615
__init__.cpython-311.pyc,file,26615
__init__.py,file,0
__pycache__,directory,29945
context.cpython-311.pyc,file,9435
functools.cpython-311.pyc,file,20298
__init__.cpython-311.pyc,file,212
more_itertools,directory,346293
more.py,file,132569
recipes.py,file,18410
__init__.py,file,83
__pycache__,directory,195231
more.cpython-311.pyc,file,167967
recipes.cpython-311.pyc,file,26958
__init__.cpython-311.pyc,file,306
packaging,directory,231053
markers.py,file,8496
requirements.py,file,4706
specifiers.py,file,30110
tags.py,file,15699
utils.py,file,4200
version.py,file,14665
_manylinux.py,file,11488
_musllinux.py,file,4378
_structures.py,file,1431
__about__.py,file,661
__init__.py,file,497
__pycache__,directory,134722
markers.cpython-311.pyc,file,16548
requirements.cpython-311.pyc,file,7663
specifiers.cpython-311.pyc,file,34377
tags.cpython-311.pyc,file,21362
utils.cpython-311.pyc,file,6697
version.cpython-311.pyc,file,21889
_manylinux.cpython-311.pyc,file,13243
_musllinux.cpython-311.pyc,file,8011
_structures.cpython-311.pyc,file,3699
__about__.cpython-311.pyc,file,656
__init__.cpython-311.pyc,file,577
pyparsing,directory,831340
actions.py,file,6426
common.py,file,12936
core.py,file,213310
diagram,directory,23668
__init__.py,file,23668
exceptions.py,file,9023
helpers.py,file,39129
results.py,file,25341
testing.py,file,13402
unicode.py,file,10787
util.py,file,6805
__init__.py,file,9159
__pycache__,directory,461354
actions.cpython-311.pyc,file,8476
common.cpython-311.pyc,file,14798
core.cpython-311.pyc,file,277650
exceptions.cpython-311.pyc,file,12940
helpers.cpython-311.pyc,file,53641
results.cpython-311.pyc,file,36324
testing.cpython-311.pyc,file,19520
unicode.cpython-311.pyc,file,15378
util.cpython-311.pyc,file,14277
__init__.cpython-311.pyc,file,8350
zipp.py,file,8425
__init__.py,file,0
__pycache__,directory,29658
appdirs.cpython-311.pyc,file,29453
__init__.cpython-311.pyc,file,205
__init__.py,file,108568
__pycache__,directory,159577
__init__.cpython-311.pyc,file,159577
setuptools,directory,3027307
archive_util.py,file,7346
build_meta.py,file,19539
cli-32.exe,file,65536
cli-64.exe,file,74752
cli-arm64.exe,file,137216
cli.exe,file,65536
command,directory,267898
alias.py,file,2381
bdist_egg.py,file,16623
bdist_rpm.py,file,1182
build.py,file,6589
build_clib.py,file,4415
build_ext.py,file,15821
build_py.py,file,14115
develop.py,file,7012
dist_info.py,file,4800
easy_install.py,file,85662
editable_wheel.py,file,31188
egg_info.py,file,26795
install.py,file,5163
install_egg_info.py,file,2226
install_lib.py,file,3875
install_scripts.py,file,2612
launcher manifest.xml,file,628
py36compat.py,file,4946
register.py,file,468
rotate.py,file,2128
saveopts.py,file,658
sdist.py,file,7071
setopt.py,file,5086
test.py,file,8102
upload.py,file,462
upload_docs.py,file,7494
__init__.py,file,396
config,directory,369045
expand.py,file,16319
pyprojecttoml.py,file,19304
setupcfg.py,file,25198
_apply_pyprojecttoml.py,file,13398
_validate_pyproject,directory,293705
error_reporting.py,file,11266
extra_validations.py,file,1153
fastjsonschema_exceptions.py,file,1612
fastjsonschema_validations.py,file,269900
formats.py,file,8736
__init__.py,file,1038
__init__.py,file,1121
depends.py,file,5499
dep_util.py,file,949
discovery.py,file,20799
dist.py,file,45578
errors.py,file,2464
extension.py,file,5591
extern,directory,2512
__init__.py,file,2512
glob.py,file,4873
gui-32.exe,file,65536
gui-64.exe,file,75264
gui-arm64.exe,file,137728
gui.exe,file,65536
installer.py,file,3824
launch.py,file,812
logging.py,file,1210
monkey.py,file,4857
msvc.py,file,47724
namespaces.py,file,3093
package_index.py,file,40329
py34compat.py,file,245
sandbox.py,file,14348
script (dev).tmpl,file,218
script.tmpl,file,138
unicode_utils.py,file,941
version.py,file,144
wheel.py,file,8376
windows_support.py,file,718
_deprecation_warning.py,file,218
_distutils,directory,604933
archive_util.py,file,8603
bcppcompiler.py,file,14789
ccompiler.py,file,47369
cmd.py,file,17973
command,directory,208459
bdist.py,file,5441
bdist_dumb.py,file,4701
bdist_rpm.py,file,22051
build.py,file,5617
build_clib.py,file,7728
build_ext.py,file,31558
build_py.py,file,16568
build_scripts.py,file,5624
check.py,file,4888
clean.py,file,2603
config.py,file,13137
install.py,file,30221
install_data.py,file,2779
install_egg_info.py,file,2785
install_headers.py,file,1189
install_lib.py,file,8434
install_scripts.py,file,1936
py37compat.py,file,672
register.py,file,11765
sdist.py,file,19241
upload.py,file,7477
_framework_compat.py,file,1614
__init__.py,file,430
config.py,file,4920
core.py,file,9451
cygwinccompiler.py,file,12537
debug.py,file,139
dep_util.py,file,3423
dir_util.py,file,8082
dist.py,file,50186
errors.py,file,3589
extension.py,file,10270
fancy_getopt.py,file,17910
filelist.py,file,13713
file_util.py,file,8226
log.py,file,1972
msvc9compiler.py,file,30235
msvccompiler.py,file,23602
py38compat.py,file,217
py39compat.py,file,639
spawn.py,file,3517
sysconfig.py,file,18858
text_file.py,file,12096
unixccompiler.py,file,15641
util.py,file,18128
version.py,file,12952
versionpredicate.py,file,5248
_collections.py,file,1330
_functools.py,file,411
_macos_compat.py,file,239
_msvccompiler.py,file,19672
__init__.py,file,537
_entry_points.py,file,1972
_imp.py,file,2392
_importlib.py,file,1311
_itertools.py,file,675
_path.py,file,749
_reqs.py,file,501
_vendor,directory,839953
importlib_metadata,directory,42846
_adapters.py,file,1862
_collections.py,file,743
_compat.py,file,1828
_functools.py,file,2895
_itertools.py,file,2068
_meta.py,file,1154
_text.py,file,2166
__init__.py,file,30130
importlib_resources,directory,25123
abc.py,file,3886
readers.py,file,3566
simple.py,file,2836
_adapters.py,file,4504
_common.py,file,2741
_compat.py,file,2706
_itertools.py,file,884
_legacy.py,file,3494
__init__.py,file,506
jaraco,directory,34449
context.py,file,5420
functools.py,file,13512
text,directory,15517
__init__.py,file,15517
__init__.py,file,0
more_itertools,directory,134297
more.py,file,117959
recipes.py,file,16256
__init__.py,file,82
ordered_set.py,file,15130
packaging,directory,96322
markers.py,file,8493
requirements.py,file,4700
specifiers.py,file,30110
tags.py,file,15699
utils.py,file,4200
version.py,file,14665
_manylinux.py,file,11488
_musllinux.py,file,4378
_structures.py,file,1431
__about__.py,file,661
__init__.py,file,497
pyparsing,directory,369986
actions.py,file,6426
common.py,file,12936
core.py,file,213310
diagram,directory,23668
__init__.py,file,23668
exceptions.py,file,9023
helpers.py,file,39129
results.py,file,25341
testing.py,file,13402
unicode.py,file,10787
util.py,file,6805
__init__.py,file,9159
tomli,directory,26226
_parser.py,file,22633
_re.py,file,2943
_types.py,file,254
__init__.py,file,396
typing_extensions.py,file,87149
zipp.py,file,8425
__init__.py,file,0
__init__.py,file,8429
setuptools-65.5.1.dist-info,directory,45895
entry_points.txt,file,2740
INSTALLER,file,5
LICENSE,file,1050
METADATA,file,6311
RECORD,file,35656
top_level.txt,file,41
WHEEL,file,92
setuptools-65.5.1.virtualenv,file,0
wheel,directory,95910
bdist_wheel.py,file,19293
cli,directory,15853
convert.py,file,9427
pack.py,file,3383
unpack.py,file,659
__init__.py,file,2384
macosx_libfile.py,file,16145
metadata.py,file,3727
util.py,file,621
vendored,directory,31475
packaging,directory,31475
tags.py,file,15612
_manylinux.py,file,11489
_musllinux.py,file,4374
__init__.py,file,0
__init__.py,file,0
wheelfile.py,file,7536
_setuptools_logging.py,file,746
__init__.py,file,59
__main__.py,file,455
wheel-0.38.4.dist-info,directory,6262
entry_points.txt,file,107
INSTALLER,file,5
LICENSE.txt,file,1107
METADATA,file,2110
RECORD,file,2835
top_level.txt,file,6
WHEEL,file,92
wheel-0.38.4.virtualenv,file,0
_distutils_hack,directory,17336
override.py,file,44
__init__.py,file,6128
__pycache__,directory,11164
__init__.cpython-311.pyc,file,11164
_virtualenv.pth,file,18
_virtualenv.py,file,5770
__pycache__,directory,6921
_virtualenv.cpython-311.pyc,file,6921
pyvenv.cfg,file,563
Scripts,directory,1410274
activate,file,2167
activate.bat,file,1020
activate.fish,file,3044
activate.nu,file,2607
Activate.ps1,file,1758
activate_this.py,file,1169
deactivate.bat,file,511
deactivate.nu,file,682
pip-3.11.exe,file,108422
pip.exe,file,108422
pip3.11.exe,file,108422
pip3.exe,file,108422
pydoc.bat,file,24
python.exe,file,270616
pythonw.exe,file,259352
wheel-3.11.exe,file,108409
wheel.exe,file,108409
wheel3.11.exe,file,108409
wheel3.exe,file,108409
